Source,Target,Weight
"Hyde Park Corner, Hyde Park","Hyde Park Corner, Hyde Park",365
"Waterloo Station 3, Waterloo","Stonecutter Street, Holborn",308
"Exhibition Road, South Kensington","South Kensington Station, South Kensington",194
"Hop Exchange, The Borough","Stamford Street, South Bank",185
"South Kensington Station, South Kensington","Exhibition Road, South Kensington",184
"Notting Hill Gate Station, Notting Hill","Turquoise Island, Notting Hill",179
"Black Lion Gate, Kensington Gardens","Black Lion Gate, Kensington Gardens",178
"Stamford Street, South Bank","Hop Exchange, The Borough",176
"West Smithfield Rotunda, Farringdon","Finsbury Circus, Liverpool Street",175
"Southwark Station 2, Southwark","Stonecutter Street, Holborn",171
"Waterloo Station 3, Waterloo","Godliman Street, St. Paul's",169
"Black Lion Gate, Kensington Gardens","Palace Gate, Kensington Gardens",168
"Wren Street, Holborn","Taviton Street, Bloomsbury",163
"Belgrove Street , King's Cross","Red Lion Street, Holborn",161
"Vaughan Way, Wapping","Devonshire Square, Liverpool Street",161
"Waterloo Station 3, Waterloo","Queen Victoria Street, St. Paul's",153
"Devonshire Square, Liverpool Street","Vaughan Way, Wapping",152
"Nesham Street, Wapping","Wapping Lane, Wapping",148
"Great Percy Street, Clerkenwell","Malet Street, Bloomsbury",148
"Stonecutter Street, Holborn","Waterloo Station 1, Waterloo",148
"Albert Gate, Hyde Park","Albert Gate, Hyde Park",147
"Wapping Lane, Wapping","Nesham Street, Wapping",146
"Turquoise Island, Notting Hill","Notting Hill Gate Station, Notting Hill",146
"Sun Street, Liverpool Street","West Smithfield Rotunda, Farringdon",144
"Malet Street, Bloomsbury","Great Percy Street, Clerkenwell",139
"Wormwood Street, Liverpool Street","Hop Exchange, The Borough",137
"Great Dover Street, Borough","Stamford Street, South Bank",137
"Vaughan Way, Wapping","Watney Street, Shadwell",136
"Waterloo Station 3, Waterloo","Newgate Street , St. Paul's",135
"Bermondsey Street, Bermondsey","Empire Square, The Borough",134
"Great Tower Street, Monument","Godliman Street, St. Paul's",133
"Wells Street, Fitzrovia","Belgrove Street , King's Cross",133
"Queen Victoria Street, St. Paul's","Waterloo Station 3, Waterloo",133
"Speakers' Corner 1, Hyde Park","Speakers' Corner 1, Hyde Park",132
"Wormwood Street, Liverpool Street","Bankside Mix, Bankside",131
"Empire Square, The Borough","Bermondsey Street, Bermondsey",130
"Stonecutter Street, Holborn","Waterloo Station 3, Waterloo",130
"Palace Gate, Kensington Gardens","Palace Gate, Kensington Gardens",127
"Notting Hill Gate Station, Notting Hill","Hereford Road, Bayswater",127
"Taviton Street, Bloomsbury","Wren Street, Holborn",126
"Bricklayers Arms, Borough","Swan Street, The Borough",125
"Queen Street, Bank","Stonecutter Street, Holborn",125
"Wren Street, Holborn","Belgrove Street , King's Cross",125
"Bankside Mix, Bankside","Waterloo Station 3, Waterloo",121
"Red Lion Street, Holborn","Belgrove Street , King's Cross",121
"New Fetter Lane, Holborn","Waterloo Station 3, Waterloo",121
"Hatton Garden, Holborn","Waterloo Station 3, Waterloo",121
"Palace Gate, Kensington Gardens","Black Lion Gate, Kensington Gardens",120
"Malet Street, Bloomsbury","Belgrove Street , King's Cross",119
"Newgate Street , St. Paul's","Waterloo Station 3, Waterloo",119
"Milroy Walk, South Bank","Stonecutter Street, Holborn",119
"Abingdon Villas, Kensington","Wright's Lane, Kensington",118
"Waterloo Station 3, Waterloo","Crosswall, Tower",118
"Stamford Street, South Bank","Stonecutter Street, Holborn",117
"Fore Street, Guildhall","Waterloo Station 3, Waterloo",116
"Newgate Street , St. Paul's","Finsbury Circus, Liverpool Street",115
"Churchill Place, Canary Wharf","East India DLR, Blackwall",114
"Godliman Street, St. Paul's","Great Tower Street, Monument",114
"Finsbury Circus, Liverpool Street","West Smithfield Rotunda, Farringdon",113
"Wapping Lane, Wapping","Vaughan Way, Wapping",112
"Queen Marys, Mile End","Royal London Hospital, Whitechapel",112
"Waterloo Station 3, Waterloo","Finsbury Circus, Liverpool Street",112
"Braham Street, Aldgate","Vaughan Way, Wapping",111
"Abbey Orchard Street, Westminster","Belgrove Street , King's Cross",110
"Brushfield Street, Liverpool Street","Vaughan Way, Wapping",109
"Aldersgate Street, Barbican","Queen Street, Bank",109
"Hop Exchange, The Borough","Wormwood Street, Liverpool Street",108
"Watney Street, Shadwell","Vaughan Way, Wapping",108
"Kennington Cross, Kennington","Kennington Lane Rail Bridge, Vauxhall",107
"Waterloo Station 3, Waterloo","Bankside Mix, Bankside",107
"Waterloo Station 1, Waterloo","Stonecutter Street, Holborn",107
"Bankside Mix, Bankside","Waterloo Station 1, Waterloo",106
"Speakers' Corner 2, Hyde Park","Speakers' Corner 2, Hyde Park",106
"Finsbury Circus, Liverpool Street","Waterloo Station 3, Waterloo",105
"Waterloo Station 3, Waterloo","Wormwood Street, Liverpool Street",104
"Milroy Walk, South Bank","Hop Exchange, The Borough",104
"Wormwood Street, Liverpool Street","West Smithfield Rotunda, Farringdon",104
"Godliman Street, St. Paul's","Waterloo Station 3, Waterloo",104
"Vaughan Way, Wapping","Wapping Lane, Wapping",103
"Hyde Park Corner, Hyde Park","Black Lion Gate, Kensington Gardens",102
"Waterloo Station 3, Waterloo","Queen Street, Bank",102
"Belgrove Street , King's Cross","Abbey Orchard Street, Westminster",102
"Devonshire Square, Liverpool Street","Leman Street, Aldgate",101
"Sun Street, Liverpool Street","Stonecutter Street, Holborn",101
"Bramham Gardens, Earl's Court","Natural History Museum, South Kensington",100
"Belgrove Street , King's Cross","Stonecutter Street, Holborn",100
"Leman Street, Aldgate","Wormwood Street, Liverpool Street",100
"Albert Gate, Hyde Park","Speakers' Corner 1, Hyde Park",99
"Belgrove Street , King's Cross","Marylebone Lane, Marylebone",98
"Belgrove Street , King's Cross","Wells Street, Fitzrovia",98
"West Smithfield Rotunda, Farringdon","Sun Street, Liverpool Street",97
"Alfred Place, Bloomsbury","Belgrove Street , King's Cross",97
"Shadwell Station, Shadwell","Vaughan Way, Wapping",96
"Belgrove Street , King's Cross","Holborn Circus, Holborn",96
"Stamford Street, South Bank","Great Dover Street, Borough",96
"Finsbury Circus, Liverpool Street","Newgate Street , St. Paul's",96
"Hop Exchange, The Borough","Milroy Walk, South Bank",96
"Leman Street, Aldgate","Brushfield Street, Liverpool Street",95
"Belgrove Street , King's Cross","Tavistock Street, Covent Garden",95
