id,label,latitude,longitude
-2,tabletop1,NULL,NULL
-1,NA,NULL,NULL
0,"NA,NA",NULL,NULL
1,"Test Terminal",NULL,NULL
959,"Milroy Walk, South Bank",51.5072,-0.106238
960,"Hop Exchange, The Borough",51.5046,-0.0917738
961,"Union Street, The Borough",51.5037,-0.0984977
962,"Stamford Street, South Bank",51.5056,-0.111607
963,"Bankside Mix, Bankside",51.5058,-0.100186
964,"Bath Street, St. Luke's",51.5259,-0.0908478
965,"Tachbrook Street, Victoria",51.4921,-0.138365
966,"New Kent Road, Borough",51.4944,-0.0929212
967,"Golden Lane, Barbican",51.5217,-0.0944751
968,"Cardinal Place, Victoria",51.4977,-0.141944
969,"Gower Place , Euston",51.5252,-0.135189
970,"Scala Street, Fitzrovia",51.5199,-0.13604
971,"Godliman Street, St. Paul's",51.5125,-0.0991414
972,"Hampstead Road, Euston",NULL,NULL
973,"Bethnal Green Road, Shoreditch",51.5236,-0.0747549
974,"Guilford Street , Bloomsbury",51.5233,-0.120203
975,"Theobalds Road , Holborn",51.5206,-0.116688
976,"Longford Street, Regent's Park",51.5256,-0.144084
977,"Speakers' Corner 1, Hyde Park",51.5122,-0.160785
978,"Russell Square Station, Bloomsbury",51.5234,-0.124122
979,"Wenlock Road , Hoxton",51.531,-0.0939038
980,"Malet Street, Bloomsbury",51.5217,-0.130432
981,"British Museum, Bloomsbury",51.5191,-0.124678
982,"Holborn Circus, Holborn",51.518,-0.108657
983,"Euston Road, Euston",51.5262,-0.134408
984,"Finsbury Circus, Liverpool Street",51.5171,-0.0866855
985,"Hatton Garden, Holborn",51.5188,-0.108028
986,"Finsbury Library , Finsbury",51.5267,-0.104298
988,"Great Russell Street, Bloomsbury",51.5177,-0.127854
989,"Murray Grove , Hoxton",51.5309,-0.0897826
990,"Cotton Garden Estate, Kennington",51.4908,-0.106324
991,"Crosswall, Tower",51.5116,-0.0771213
992,"St. John Street, Finsbury",51.5284,-0.104725
993,"Drummond Street , Euston",51.5277,-0.135273
994,"Tanner Street, Bermondsey",51.5006,-0.0786004
995,"Little Argyll Street, West End",51.5145,-0.141424
996,"Borough High Street, The Borough",51.5007,-0.0945243
997,"Appold Street, Liverpool Street",51.5217,-0.0811189
998,"Lollard Street, Vauxhall",51.4929,-0.114934
999,"Queen Street, Bank",51.5116,-0.0929401
1000,"Vauxhall Cross, Vauxhall",51.4859,-0.12447
1001,"West Cromwell Road, Earl's Court",51.4937,-0.198287
1002,"Holy Trinity Brompton, Knightsbridge",51.4971,-0.168917
1003,"Chapel Place, Marylebone",51.5153,-0.147204
1004,"Doric Way , Somers Town",51.5288,-0.13225
1005,"Eversholt Street , Camden Town",51.533,-0.136793
1006,"Bayley Street , Bloomsbury",51.5186,-0.132053
1007,"Drury Lane, Covent Garden",51.5148,-0.12222
1008,"Hatton Wall, Holborn",51.5217,-0.109006
1009,"Taviton Street, Bloomsbury",51.5251,-0.131161
1010,"Cartwright Gardens , Bloomsbury",51.5264,-0.125979
1011,"Belgrove Street , King's Cross",51.5299,-0.123617
1012,"Christopher Street, Liverpool Street",51.5213,-0.0846057
1013,"St. Chad's Street, King's Cross",51.5301,-0.120974
1014,"Rodney Street, Angel",51.5318,-0.114329
1015,"New Globe Walk, Bankside",51.5074,-0.0964407
1016,"Hereford Road, Bayswater",51.5137,-0.193487
1017,"Great Dover Street, Borough",51.4974,-0.0894469
1018,"Phillimore Gardens, Kensington",51.4996,-0.197574
1019,"Ampton Street , Clerkenwell",51.5273,-0.118295
1020,"Leonard Circus , Shoreditch",51.5247,-0.0844393
1021,"Bouverie Street, Temple",51.5138,-0.107928
1022,"Brunswick Square, Bloomsbury",51.524,-0.122502
1023,"River Street , Clerkenwell",51.5292,-0.109971
1024,"Park Street, Bankside",51.506,-0.0927542
1025,"Bolsover Street, Fitzrovia",51.5235,-0.143614
1026,"Roscoe Street, St. Luke's",51.523,-0.0949349
1027,"Warwick Avenue Station, Maida Vale",51.5233,-0.183846
1028,"William IV Street, Strand",51.5095,-0.124749
1029,"Windsor Terrace, Hoxton",51.5292,-0.0934216
1030,"Lisson Grove, St. John's Wood",51.5264,-0.172191
1031,"Nesham Street, Wapping",51.5071,-0.06691
1032,"New Inn Yard, Shoreditch",51.5245,-0.0792481
1033,"Paddington Street, Marylebone",51.5206,-0.154701
1034,"Bruton Street, Mayfair",51.5107,-0.144165
1035,"Harewood Avenue, Marylebone",51.5223,-0.163849
1036,"Crawford Street, Marylebone",51.5203,-0.157184
1037,"Park Lane , Hyde Park",51.51,-0.157276
1038,"Harrington Square, Camden Town",51.533,-0.139175
1039,"Wapping High Street, Wapping",51.5049,-0.06797
1040,"West Smithfield Rotunda, Farringdon",51.5182,-0.100791
1041,"Westbourne Grove, Bayswater",51.5155,-0.190241
1042,"Woodstock Street, Mayfair",51.5141,-0.147302
1043,"Museum of London, Barbican",51.5178,-0.0964969
1044,"The Guildhall, Guildhall",51.5157,-0.0930808
1045,"Jewry Street, Aldgate",51.5134,-0.0767934
1046,"Vauxhall Bridge , Pimlico",51.4884,-0.129362
1047,"Falkirk Street, Hoxton",51.531,-0.0785054
1048,"Queen Victoria Street, St. Paul's",51.512,-0.0974417
1049,"Finsbury Leisure Centre, St. Luke's",51.526,-0.0963176
1050,"Park Road (Baker Street), Regent's Park",51.5245,-0.158964
1051,"Shoreditch Park, Hoxton",51.534,-0.0863797
1052,"Soho Square , Soho",51.5156,-0.132329
1053,"Clerkenwell Green, Clerkenwell",51.5233,-0.104709
1054,"East Road, Hoxton",51.5287,-0.0874594
1055,"Wellington Road, St. John's Wood",51.533,-0.172529
1056,"Finsbury Square , Moorgate",51.521,-0.0856342
1057,"Hardwick Street, Clerkenwell",51.5278,-0.108068
1058,"Edgware Road Station, Paddington",51.52,-0.169774
1059,"Albert Embankment, Vauxhall",51.4904,-0.122807
1060,"Torrens Street, Angel",51.5322,-0.105481
1061,"Stonecutter Street, Holborn",51.5158,-0.10527
1062,"Braham Street, Aldgate",51.5142,-0.0735377
1063,"Wood Street, Guildhall",51.517,-0.0938854
1064,"Old Street Station, St. Luke's",51.5257,-0.0884862
1065,"Aldersgate Street, Barbican",51.5208,-0.0973402
1066,"Calshot Street , King's Cross",51.5314,-0.11707
1067,"St. James's Square, St. James's",51.5074,-0.134621
1068,"Norton Folgate, Liverpool Street",51.5211,-0.0788698
1069,"Eaton Square, Belgravia",51.4965,-0.150905
1070,"Bricklayers Arms, Borough",51.4951,-0.0858145
1071,"Tower Gardens , Tower",51.5095,-0.0754595
