Rental Id,Billable Duration,Duration,Unique ID/Customer Record Number,Subscription Id,Bike Id,End Date,EndStation Id,EndStation Logical Terminal,EndStation Name,endStationPriority_id,Start Date,StartStation Id,StartStation Logical Terminal,StartStation Name,startStationPriority_id,EndHourCategory Id,StartHourCategory Id,BikeUserType Id
18949940,1161,1161,1859945752,100781,4594,06/01/2013 00:19,292,1206,"Montpelier Street, Knightsbridge",0,06/01/2013 00:00,264,1146,"Tysoe Street, Clerkenwell",0,0,0,1
18943120,268,268,939886584,7264320,7692,06/01/2013 00:04,63,989,"Murray Grove , Hoxton",0,06/01/2013 00:00,75,1060,"Torrens Street, Angel",0,0,0,1
18946301,0,-1357430418,938215299,5078222,834,01/01/1970 00:00,,0,"NA,NA",0,06/01/2013 00:00,541,200096,"Green Park Station, West End",0,0,0,1
18957030,774,775,872398930,7856420,9170,06/01/2013 00:13,114,1050,"Park Road (Baker Street), Regent's Park",0,06/01/2013 00:00,456,200118,"Parkway, Camden Town",0,0,0,1
18944737,780,781,1517271443,3906421,5790,06/01/2013 00:13,399,2687,"Brick Lane Market, Shoreditch",0,06/01/2013 00:00,512,200083,"Pritchard's Road, Bethnal Green",0,0,0,1
18954484,815,816,274043612,9106258,747,06/01/2013 00:14,489,22177,"Christian Street, Whitechapel",0,06/01/2013 00:00,194,960,"Hop Exchange, The Borough",1,0,0,0
18956698,1198,1199,1840322593,679925,4215,06/01/2013 00:20,14,1011,"Belgrove Street , King's Cross",1,06/01/2013 00:00,64,1028,"William IV Street, Strand",1,0,0,1
18943817,205,205,875135112,2498321,5801,06/01/2013 00:04,115,1062,"Braham Street, Aldgate",0,06/01/2013 00:00,87,3438,"Devonshire Square, Liverpool Street",0,0,0,1
18948780,15792,15793,1671800052,9118524,1410,06/01/2013 04:24,310,1205,"Black Prince Road, Vauxhall",0,06/01/2013 00:00,139,1078,"Lambeth Road, Vauxhall",0,0,0,0
18951696,13832,13832,1671800052,9118524,7586,06/01/2013 03:51,437,200056,"Vauxhall Walk, Vauxhall",0,06/01/2013 00:01,139,1078,"Lambeth Road, Vauxhall",0,0,0,0
18943734,573,573,1285334711,6435627,8708,06/01/2013 00:10,152,1118,"Hampton Street, Walworth",0,06/01/2013 00:01,374,2696,"Waterloo Station 1, Waterloo",1,0,0,1
18955111,478,478,1589205512,9060351,1136,06/01/2013 00:09,42,979,"Wenlock Road , Hoxton",0,06/01/2013 00:01,68,975,"Theobalds Road , Holborn",1,0,0,1
18958468,553,553,1368773172,5760422,3712,06/01/2013 00:10,177,1122,"Ashley Place, Victoria",0,06/01/2013 00:01,221,1170,"Horseferry Road, Westminster",0,0,0,1
18949655,699,700,29905480,5604399,4206,06/01/2013 00:13,92,1082,"Borough Road, Elephant & Castle",0,06/01/2013 00:01,64,1028,"William IV Street, Strand",1,0,0,1
18954773,1151,1152,640003529,9115632,1878,06/01/2013 00:21,114,1050,"Park Road (Baker Street), Regent's Park",0,06/01/2013 00:02,572,200026,"Greenland Road, Camden Town",0,0,0,0
18952398,1260,1260,714785534,9118525,2122,06/01/2013 00:23,463,200093,"Thurtle Road, Haggerston",0,06/01/2013 00:02,189,1104,"Claremont Square, Angel",0,0,0,0
18945944,0,-1357430529,1834016526,9118527,1486,01/01/1970 00:00,,0,"NA,NA",0,06/01/2013 00:02,480,200115,"Flamborough Street, Limehouse",0,0,0,0
18950483,1131,1132,640003529,9115632,2366,06/01/2013 00:21,114,1050,"Park Road (Baker Street), Regent's Park",0,06/01/2013 00:02,572,200026,"Greenland Road, Camden Town",0,0,0,0
18952297,954,955,889925597,6640078,5566,06/01/2013 00:18,98,972,"Hampstead Road, Euston",0,06/01/2013 00:02,129,3451,"Golden Square, Soho",0,0,0,1
18953110,1104,1105,1969777936,9115722,4,06/01/2013 00:20,114,1050,"Park Road (Baker Street), Regent's Park",0,06/01/2013 00:02,572,200026,"Greenland Road, Camden Town",0,0,0,0
