date, journeys, swow_depth
06/01/2013, 13622, 0
07/01/2013, 23348, 0
08/01/2013, 25908, 0
09/01/2013, 25339, 0
10/01/2013, 24363, 0
11/01/2013, 23868, 0
12/01/2013, 13559, 0
13/01/2013, 12260, 0
14/01/2013, 17427, 0
15/01/2013, 22795, 0
16/01/2013, 22457, 0
17/01/2013, 22207, 0
18/01/2013, 13107, 5
19/01/2013, 7843, 4
20/01/2013, 3727, 5
21/01/2013, 13467, 5
22/01/2013, 18060, 3
23/01/2013, 19404, 0
24/01/2013, 20721, 0
25/01/2013, 20178, 0
26/01/2013, 14595, 0
27/01/2013, 13687, 0
28/01/2013, 18689, 0
29/01/2013, 21266, 0
30/01/2013, 23414, 0
31/01/2013, 21957, 0
01/02/2013, 18080, 0
02/02/2013, 15755, 0
