Source,Target,JourneyText,07-2012,08-2012,09-2012,10-2012,11-2012,12-2012,01-2013,02-2013,Weight
"Cumberland Gate, Hyde Park","Marylebone Lane, Marylebone","Cumberland Gate, Hyde Park to Marylebone Lane, Marylebone",0,1,0,0,0,0,0,0,1
"Princes Square, Bayswater","Cumberland Gate, Hyde Park","Princes Square, Bayswater to Cumberland Gate, Hyde Park",0,1,0,0,0,0,0,0,1
"Lancaster Gate , Bayswater","Princes Square, Bayswater","Lancaster Gate , Bayswater to Princes Square, Bayswater",0,3,1,0,0,0,0,0,4
"Whiteley's, Bayswater","Lancaster Gate , Bayswater","Whiteley's, Bayswater to Lancaster Gate , Bayswater",9,23,17,12,19,20,14,0,114
"Bishop's Bridge Road West, Bayswater","Whiteley's, Bayswater","Bishop's Bridge Road West, Bayswater to Whiteley's, Bayswater",0,4,1,0,2,0,1,0,8
"Marylebone Lane, Marylebone","Belgrove Street , King's Cross","Marylebone Lane, Marylebone to Belgrove Street , King's Cross",0,5,2,0,0,0,0,0,7
"Hereford Road, Bayswater","Marylebone Lane, Marylebone","Hereford Road, Bayswater to Marylebone Lane, Marylebone",0,1,2,0,0,0,0,0,3
"Bayswater Road, Hyde Park","Bishop's Bridge Road West, Bayswater","Bayswater Road, Hyde Park to Bishop's Bridge Road West, Bayswater",2,8,8,3,0,2,1,0,24
"Pembridge Villas, Notting Hill","Whiteley's, Bayswater","Pembridge Villas, Notting Hill to Whiteley's, Bayswater",2,3,1,0,0,0,0,0,6
"Whiteley's, Bayswater","Devonshire Terrace, Bayswater","Whiteley's, Bayswater to Devonshire Terrace, Bayswater",1,3,2,0,7,2,1,0,16
"Ilchester Gardens, Bayswater","Pembridge Villas, Notting Hill","Ilchester Gardens, Bayswater to Pembridge Villas, Notting Hill",1,2,0,0,0,0,0,0,3
"Devonshire Terrace, Bayswater","Hereford Road, Bayswater","Devonshire Terrace, Bayswater to Hereford Road, Bayswater",1,1,0,0,0,1,0,0,3
"Hampstead Road, Euston","Bayswater Road, Hyde Park","Hampstead Road, Euston to Bayswater Road, Hyde Park",0,1,0,0,0,0,0,0,1
"Bishop's Bridge Road West, Bayswater","Ilchester Gardens, Bayswater","Bishop's Bridge Road West, Bayswater to Ilchester Gardens, Bayswater",0,3,0,0,1,0,0,0,4
"Belgrove Street , King's Cross","William IV Street, Strand","Belgrove Street , King's Cross to William IV Street, Strand",0,1,0,2,3,0,1,0,7
"William IV Street, Strand","Belgrove Street , King's Cross","William IV Street, Strand to Belgrove Street , King's Cross",0,1,0,4,3,3,4,1,16
"Princes Square, Bayswater","British Museum, Bloomsbury","Princes Square, Bayswater to British Museum, Bloomsbury",2,0,0,0,0,0,0,0,2
"Nutford Place, Marylebone","Belgrove Street , King's Cross","Nutford Place, Marylebone to Belgrove Street , King's Cross",0,1,0,0,0,0,0,0,1
"Westbourne Grove, Bayswater","Nutford Place, Marylebone","Westbourne Grove, Bayswater to Nutford Place, Marylebone",0,1,0,0,0,0,0,0,1
"Soho Square , Soho","Bishop's Bridge Road West, Bayswater","Soho Square , Soho to Bishop's Bridge Road West, Bayswater",2,0,0,0,1,0,1,0,4
"Hereford Road, Bayswater","Pembridge Villas, Notting Hill","Hereford Road, Bayswater to Pembridge Villas, Notting Hill",3,2,0,0,0,0,0,0,5
"Hereford Road, Bayswater","Hereford Road, Bayswater","Hereford Road, Bayswater to Hereford Road, Bayswater",2,5,1,0,0,2,0,0,10
"Whiteley's, Bayswater","Hereford Road, Bayswater","Whiteley's, Bayswater to Hereford Road, Bayswater",1,0,0,0,0,0,0,0,1
