"0","NA,NA"
"1","Test Terminal"
"1000","Vauxhall Cross, Vauxhall"
"1001","West Cromwell Road, Earl's Court"
"1002","Holy Trinity Brompton, Knightsbridge"
"1003","Chapel Place, Marylebone"
"1004","Doric Way , Somers Town"
"1005","Eversholt Street , Camden Town"
"1006","Bayley Street , Bloomsbury"
"1007","Drury Lane, Covent Garden"
"1008","Hatton Wall, Holborn"
"1009","Taviton Street, Bloomsbury"
"1010","Cartwright Gardens , Bloomsbury"
"1011","Belgrove Street , King's Cross"
"1012","Christopher Street, Liverpool Street"
"1013","St. Chad's Street, King's Cross"
"1014","Rodney Street, Angel"
"1015","New Globe Walk, Bankside"
"1016","Hereford Road, Bayswater"
"1017","Great Dover Street, Borough"
"1018","Phillimore Gardens, Kensington"
"1019","Ampton Street , Clerkenwell"
"1020","Leonard Circus , Shoreditch"
"1021","Bouverie Street, Temple"
"1022","Brunswick Square, Bloomsbury"
"1023","River Street , Clerkenwell"
"1024","Park Street, Bankside"
"1025","Bolsover Street, Fitzrovia"
"1026","Roscoe Street, St. Luke's"
"1027","Warwick Avenue Station, Maida Vale"
"1028","William IV Street, Strand"
"1029","Windsor Terrace, Hoxton"
"1030","Lisson Grove, St. John's Wood"
"1031","Nesham Street, Wapping"
"1032","New Inn Yard, Shoreditch"
"1033","Paddington Street, Marylebone"
"1034","Bruton Street, Mayfair"
"1035","Harewood Avenue, Marylebone"
"1036","Crawford Street, Marylebone"
"1037","Park Lane , Hyde Park"
"1038","Harrington Square, Camden Town"
"1039","Wapping High Street, Wapping"
"1040","West Smithfield Rotunda, Farringdon"
"1041","Westbourne Grove, Bayswater"
"1042","Woodstock Street, Mayfair"
"1043","Museum of London, Barbican"
"1044","The Guildhall, Guildhall"
"1045","Jewry Street, Aldgate"
"1046","Vauxhall Bridge , Pimlico"
"1047","Falkirk Street, Hoxton"
"1048","Queen Victoria Street, St. Paul's"
"1049","Finsbury Leisure Centre, St. Luke's"
"1050","Park Road (Baker Street), Regent's Park"
"1051","Shoreditch Park, Hoxton"
"1052","Soho Square , Soho"
"1053","Clerkenwell Green, Clerkenwell"
"1054","East Road, Hoxton"
"1055","Wellington Road, St. John's Wood"
"1056","Finsbury Square , Moorgate"
"1057","Hardwick Street, Clerkenwell"
"1058","Edgware Road Station, Paddington"
"1059","Albert Embankment, Vauxhall"
"1060","Torrens Street, Angel"
"1061","Stonecutter Street, Holborn"
"1062","Braham Street, Aldgate"
"10621","Upper Grosvenor Street, Mayfair"
"10623","Greycoat Street , Westminster"
"10624","Strata, Southwark"
"10625","Penfold Street, Marylebone"
"10626","Penton Workshop"
"10627","Grosvenor Square, Mayfair"
"10628","Cleaver Street, Kennington"
"10629","Walworth Road, Southwark"
"1063","Wood Street, Guildhall"
"10630","George Place Mews, Marylebone"
"10631","Holland Walk, Kensington"
"10632","Kensington Town Hall, Kensington"
"10633","Speakers' Corner 2, Hyde Park"
"1064","Old Street Station, St. Luke's"
"1065","Aldersgate Street, Barbican"
"1066","Calshot Street , King's Cross"
"1067","St. James's Square, St. James's"
"1068","Norton Folgate, Liverpool Street"
"1069","Eaton Square, Belgravia"
"1070","Bricklayers Arms, Borough"
"1071","Tower Gardens , Tower"
"1072","Waterloo Station 3, Waterloo"
"1073","Kennington Road Post Office, Oval"
"1074","Newgate Street , St. Paul's"
"1075","Hyde Park Corner, Hyde Park"
"1076","Walnut Tree Walk, Vauxhall"
"1077","Royal London Hospital, Whitechapel"
"1078","Lambeth Road, Vauxhall"
"1079","Endsleigh Gardens, Euston"
"1080","Great Tower Street, Monument"
"1081","Liverpool Road (N1 Centre), Angel"
"1082","Borough Road, Elephant & Castle"
"1083","Commercial Street, Shoreditch"
"1084","Sun Street, Liverpool Street"
"1085","Old Quebec Street, Marylebone"
"1086","Baker Street, Marylebone"
"1087","Belgrave Road, Victoria"
"1088","Triangle Car Park, Hyde Park"
"1089","Queen's Gate (Central), South Kensington"
"1090","Warren Street Station, Euston"
"1091","St. John's Wood Church, Regent's Park"
"1092","Moorfields, Moorgate"
"1093","Kennington Cross, Kennington"
"1094","Wright's Lane, Kensington"
"1095","LSBU (Borough Road), Elephant & Castle"
"1096","Bayswater Road, Hyde Park"
"1097","Northumberland Avenue, Strand"
"1098","Lower Thames Street, Monument"
"1099","Frampton Street, Paddington"
"1100","Strand, Strand"
"1101","Knightsbridge, Hyde Park"
"1102","Leman Street, Aldgate"
"1103","Gloucester Street, Pimlico"
"1104","Claremont Square, Angel"
"1105","LMU Commercial Road, Whitechapel"
"1106","Rampayne Street, Pimlico"
"1107","Gloucester Road Station, South Kensington"
"1108","North Wharf Road, Paddington"
"1109","Wellington Arch, Hyde Park"
"1110","Palace Gate, Kensington Gardens"
"1111","Jubilee Gardens, South Bank"
"1112","Nutford Place, Marylebone"
"1113","Trebovir Road, Earl's Court"
"1114","Pont Street, Knightsbridge"
"1115","Ilchester Place, Kensington"
"1116","Emperor's Gate, South Kensington"
"1117","Lambeth North Station, Waterloo"
"1118","Hampton Street, Walworth"
"1119","Bourne Street, Belgravia"
"1120","Chepstow Villas, Notting Hill"
"1121","Lexham Gardens, Kensington"
"1122","Ashley Place, Victoria"
"1123","Southampton Place, Holborn"
"1124","Sumner Place, South Kensington"
"1125","Great Marlborough Street, Soho"
"1126","North Audley Street, Mayfair"
"1127","Risinghill Street, Angel"
"1128","New North Road 1, Hoxton"
"1129","Marylebone Flyover, Paddington"
"1129","Paddington Green Police Station, Paddington"
"1130","Grove End Road, St. John's Wood"
"1131","Graham Street, Angel"
"1132","Albert Gate, Hyde Park"
"1133","Baylis Road, Waterloo"
"1134","Warwick Road, Olympia"
"1135","Claverton Street, Pimlico"
